Orig.Row,Sample,Water Type,PhreeqC (1= yes),pH,TDS (mg/L),Alk. (ueq/L),DICcalc (umol/L),DICexp (umol/L),Cl (umol/l),SO4 (umol/l),F (umol/l),Br (umol/l),Ca (umol/l),Mg (umol/l),Na (umol/l),K (umol/l),Si (umol/l),Al (umol/l),Ba (umol/l),Sr (umol/l),Fe (umol/l),Mn (umol/l),Calcite,± Calcite,Gypsum,± Gypsum,log PCO2,± lgPCO2,Alk* ueq/L,± Alk*,DICcalc* umol/L,± DIC*,DICexp* umol/L,SO4* (umol/l),Ca* (umol/l),Mg* (umol/l),Na* (umol/l),K* (umol/l),SO4* (ueq/l),Ca* (ueq/l),Mg* (ueq/l),Ca*+Mg* (ueq/l),(Ca+Mg-SO4)* (umol/l),(HCO3+SO4)* ueq/L,Na*+K* (umol/l),SumCat* ueq/L,Calcite*,± Calcite*,Gypsum*,± Gypsum*,log PCO2*,± lgPCO2*
276,14G-GL11-T14- r276,5,1,7,24.62,155.9952969,207.462078,,7.45952283,42.19735733,,,71.69790319,11.89681946,56.401089,37.19724834,32.20146776,,,,,,-3.17837928,0.199683747,-3.996837033,0.085119624,-3.112705305,0.200307803,156.00,21.84,207.46,29.02,,42.20,71.70,11.90,56.40,37.20,84.39,143.40,23.79,167.19,41.40,240.39,93.60,260.79,-3.18,0.20,-4.00,0.09,-3.11,0.20
277,14G-GL11-T16- r277,5,1,7,24.98,160.9952071,214.1065585,,12.99917339,41.39742308,,,72.29791298,11.19701078,54.70107686,39.19711522,28.90132826,,,,,,-3.161240341,0.199691647,-4.001843321,0.085166065,-3.099045142,0.200299559,161.00,22.54,214.11,29.95,,41.40,72.30,11.20,54.70,39.20,82.79,144.60,22.39,166.99,42.10,243.79,93.90,260.89,-3.16,0.20,-4.00,0.09,-3.10,0.20
278,14G-GL11-T18- r278,5,1,7,22.06,143.9953491,191.5712942,,5.789617199,37.3975775,,,65.69793738,10.19725189,45.70078413,31.89757179,26.4011466,,,,,,-3.24833609,0.199676232,-4.082656171,0.085258325,-3.146931245,0.200316142,144.00,20.16,191.57,26.79,,37.40,65.70,10.20,45.70,31.90,74.80,131.40,20.39,151.79,38.50,218.79,77.60,229.39,-3.25,0.20,-4.08,0.09,-3.15,0.20
279,14G-GL11-T20- r279,5,1,7.5,20.72,137.9956025,152.1367225,,7.669496222,39.59745212,,,69.09786052,12.19671832,48.00084435,33.79744178,33.70147823,,,,,,-2.747082178,0.199344254,-4.03784469,0.085187784,-3.666699571,0.200625672,138.00,19.32,152.14,21.31,,39.60,69.10,12.20,48.00,33.80,79.19,138.20,24.39,162.59,41.70,217.19,81.80,244.39,-2.75,0.20,-4.04,0.09,-3.67,0.20
280,14G-GL11-T21- r280,5,1,7,23.72,149.9953624,199.4998372,,6.069607069,41.49736923,,,72.397827,11.39694432,49.50091768,33.79747383,31.80142505,,,,,,-3.190543608,0.199677343,-3.998896829,0.085130918,-3.12961261,0.200314623,150.00,21.00,199.50,27.90,,41.50,72.40,11.40,49.50,33.80,82.99,144.80,22.79,167.59,42.30,232.99,83.30,250.89,-3.19,0.20,-4.00,0.09,-3.13,0.20
281,14G-GL11-T22- r281,5,1,7,21.51,138.9954297,184.9362216,,7.609492446,34.59773874,,,62.9979855,11.09700296,44.400736,30.29767596,30.20129408,,,,,,-3.280962745,0.199666637,-4.133164143,0.085370804,-3.162121227,0.20032609,139.00,19.46,184.94,25.87,,34.60,63.00,11.10,44.40,30.30,69.20,126.00,22.19,148.19,39.50,208.19,74.70,222.89,-3.28,0.20,-4.13,0.09,-3.16,0.20
282,14G-GL12-L1- r282,5,1,6.6,12.04,92.09599557,169.7169474,,,1.979849612,,,10.79954018,,23.00013746,10.79905716,4.64014964,,,,,,-4.601867808,0.19939469,-6.103145236,0.086964787,-2.935472901,0.200614818,92.10,12.89,169.72,36.19,,1.98,10.80,,23.00,10.80,3.96,21.60,,,,96.06,33.80,33.80,-4.60,0.20,-6.10,0.09,-2.94,0.20
283,14G-GL12-L2- r283,5,1,6.6,12.41,86.99626335,160.3080715,,,1.769866499,,,9.749590047,,37.00024071,23.59795221,7.500245845,,,,,,-4.671963453,0.199358808,-6.197859265,0.08699095,-2.960354506,0.200650339,87.00,12.18,160.31,34.19,,1.77,9.75,,37.00,23.60,3.54,19.50,,,,90.54,60.60,60.60,-4.67,0.20,-6.20,0.09,-2.96,0.20
284,14G-GL12-T1- r284,5,1,7.75,48.61,427.9980699,451.8107863,,7.899697221,61.49772542,,,86.79968701,14.39652038,170.0076412,129.9937168,41.40294862,,,,,,-1.926405789,0.198984666,-3.778254127,0.084871728,-3.429274182,0.200859433,428.00,59.92,451.81,63.27,,61.50,86.80,14.40,170.01,129.99,123.00,173.60,28.79,202.39,39.70,550.99,300.00,502.39,-1.93,0.20,-3.78,0.08,-3.43,0.20
285,14G-GL11-1-S1- r285,3,,,0.14,,,,,,,,0.56,0.34,1.289987038,0.480003683,1.019963683,,,,,,,,,,,,,,,,,,0.56,0.34,1.29,0.48,,1.12,0.68,1.80,,,1.77,3.57,,,,,,
